name,time,result,min k,runtime,iterations,m (true set),n (number of subsets)
scpb1,60,0,24,60.001772800000026,1,300,3000
scpb1,600,1,24,85.78872439999986,1,300,3000
scpb2,60,0,23,60.005120199999965,1,300,3000
scpb2,600,1,23,76.51451819999988,1,300,3000
scpb3,60,1,23,40.48148470000001,0,300,3000
scpb3,600,1,23,39.13522349999994,0,300,3000
scpb4,60,0,24,60.00455610000017,1,300,3000
scpb4,600,1,24,79.73554710000008,1,300,3000
scpb5,60,1,25,45.33270000000016,0,300,3000
scpb5,600,1,25,42.27466490000006,0,300,3000
scpc1,60,0,47,60.013076299999966,0,400,4000
scpc1,600,1,47,279.32332799999995,1,400,4000
scpc2,60,0,47,60.003770799999984,0,400,4000
scpc2,600,1,47,278.90907279999965,1,400,4000
scpc3,60,0,47,60.012809699999934,0,400,4000
scpc3,600,1,47,279.7912374000002,1,400,4000
scpc4,60,0,46,60.01823369999988,0,400,4000
scpc4,600,1,46,269.0184339000002,1,400,4000
scpc5,60,0,47,60.01308100000006,0,400,4000
scpc5,600,1,47,137.98729700000013,0,400,4000
scpd1,60,0,27,60.01229989999979,0,400,4000
scpd1,600,1,27,81.30661069999996,0,400,4000
scpd2,60,0,26,60.0112865000001,0,400,4000
scpd2,600,1,26,154.94688710000037,1,400,4000
scpd3,60,0,27,60.01853570000003,0,400,4000
scpd3,600,1,27,81.22192940000014,0,400,4000
scpd4,60,0,26,60.00605220000011,0,400,4000
scpd4,600,1,26,153.47210080000013,1,400,4000
scpd5,60,0,27,60.01261290000002,0,400,4000
scpd5,600,1,27,161.0662441000004,1,400,4000
scpe1,60,1,5,0.6643699000001106,1,50,500
scpe1,600,1,5,0.645238700000391,1,50,500
scpe2,60,1,5,0.7089902000000166,1,50,500
scpe2,600,1,5,0.6405312000001686,1,50,500
scpe3,60,1,5,0.6762466000000131,1,50,500
scpe3,600,1,5,0.6508438999999271,1,50,500
scpe4,60,1,6,0.8013670999998794,1,50,500
scpe4,600,1,6,0.7526134999998249,1,50,500
scpe5,60,1,5,0.6812562000000071,1,50,500
scpe5,600,1,5,0.6410045000002356,1,50,500
