CPLEX 20.1.0.0: optimal solution; objective 15.791211
148 dual simplex iterations (0 in phase I)
x [*] :=
  0 0             58 0            116 0.251693     174 0
  1 0             59 0            117 0            175 0
  2 0             60 0            118 0            176 0
  3 0             61 0.468195     119 0.0977758    177 0
  4 0             62 0            120 0.111621     178 0
  5 0             63 0            121 0            179 0
  6 0             64 0            122 0            180 0
  7 0             65 0.163642     123 0            181 0
  8 0             66 0.142736     124 0            182 0
  9 0             67 0            125 0            183 0
 10 0             68 0.456716     126 0            184 0.442958
 11 0             69 0.397006     127 0.189742     185 0
 12 0             70 0            128 0            186 0.135444
 13 0             71 0            129 0            187 0
 14 0.436496      72 0            130 0.247083     188 0
 15 0             73 0            131 0            189 0.452884
 16 0             74 0            132 0            190 0.140072
 17 0             75 0            133 0            191 0.0823811
 18 0             76 0            134 0            192 0
 19 0.17539       77 0            135 0            193 0
 20 0             78 0            136 0            194 0.102628
 21 0.286571      79 0.173849     137 0            195 0.434029
 22 0             80 0            138 0            196 0.159927
 23 0.641881      81 0            139 0.0715483    197 0
 24 0             82 0            140 0            198 0
 25 0             83 0            141 0            199 0.125954
 26 0             84 0            142 0.146025     200 0
 27 0             85 0.0982746    143 0.0928787    201 0.393999
 28 0             86 0            144 0            202 0
 29 0             87 0.261645     145 0            203 0.023852
 30 0             88 0            146 0            204 0
 31 0.214881      89 0            147 0            205 0
 32 0.316565      90 0.164065     148 0            206 0
 33 0.0111193     91 0            149 0.422602     207 0
 34 0             92 0            150 0            208 0
 35 0             93 0            151 0            209 0
 36 0             94 0            152 0            210 0.190243
 37 0             95 0            153 0.369993     211 0
 38 0             96 0            154 0.115565     212 0
 39 0.173685      97 0            155 0            213 0
 40 0             98 0            156 0            214 0.171076
 41 0             99 0            157 0            215 0
 42 0            100 0            158 0.0260268    216 0
 43 0.358119     101 0.359464     159 0.432505     217 0.11705
 44 0.36419      102 0            160 0            218 0.226456
 45 0.432152     103 0.167615     161 0            219 0
 46 0            104 0            162 0            220 0.236008
 47 0            105 0.251282     163 0            221 0
 48 0            106 0            164 0            222 0.0818725
 49 0            107 0.383357     165 0            223 0
 50 0            108 0.00433779   166 0            224 0
 51 0            109 0.0264262    167 0            225 0
 52 0.276247     110 0            168 0            226 0
 53 0            111 0            169 0.446068     227 0
 54 0            112 0.124346     170 0.391573     228 0.331529
 55 0.155543     113 0            171 0            229 0.762425
 56 0            114 0            172 0
 57 0.281925     115 0            173 0
;

