CPLEX 20.1.0.0: optimal solution; objective 14.3794354
180 dual simplex iterations (0 in phase I)
x [*] :=
  0 0             65 0            130 0            195 0
  1 0             66 0            131 0            196 0
  2 0             67 0            132 0            197 0.313679
  3 0             68 0.159091     133 0            198 0.0479106
  4 0.638029      69 0            134 0            199 0
  5 0.086446      70 0            135 0            200 0.445451
  6 0             71 0.228267     136 0            201 0.156879
  7 0             72 0            137 0            202 0
  8 0             73 0            138 0.0979282    203 0
  9 0             74 0            139 0            204 0
 10 0.0222488     75 0            140 0            205 0
 11 0.498262      76 0            141 0            206 0.0832005
 12 0             77 0            142 0            207 0
 13 0             78 0            143 0.432465     208 0
 14 0             79 0            144 0            209 0
 15 0             80 0.00520399   145 0            210 0
 16 0             81 0.254413     146 0            211 0
 17 0             82 0            147 0            212 0
 18 0             83 0            148 0            213 0
 19 0             84 0            149 0            214 0
 20 0.312506      85 0            150 0            215 0.339448
 21 0             86 0            151 0            216 0
 22 0             87 0            152 0            217 0
 23 0             88 0            153 0.0203966    218 0
 24 0             89 0            154 0.400334     219 0
 25 0             90 0            155 0            220 0
 26 0             91 0            156 0            221 0
 27 0             92 0.250872     157 0            222 0
 28 0.139697      93 0            158 0            223 0
 29 0.162567      94 0            159 0.0144411    224 0.498898
 30 0             95 0            160 0.0354099    225 0.076715
 31 0.0952751     96 0            161 0.112797     226 0.339171
 32 0             97 0.0261748    162 0            227 0
 33 0.392873      98 0            163 0.00725649   228 0
 34 0.159091      99 0            164 0            229 0.153931
 35 0.308559     100 0            165 0            230 0
 36 0            101 0            166 0            231 0.530513
 37 0            102 0            167 0            232 0
 38 0            103 0            168 0            233 0
 39 0            104 0.120149     169 0            234 0.0677451
 40 0            105 0            170 0            235 0
 41 0            106 0            171 0.0463019    236 0.0099848
 42 0.119405     107 0.122805     172 0            237 0
 43 0            108 0            173 0            238 0
 44 0.251385     109 0            174 0            239 0.567535
 45 0            110 0            175 0            240 0
 46 0            111 0.0628342    176 0            241 0
 47 0            112 0            177 0.227506     242 0
 48 0.332971     113 0.105563     178 0.0306252    243 0.520855
 49 0            114 0.147353     179 0            244 0.0169422
 50 0            115 0.0192857    180 0            245 0
 51 0            116 0            181 0            246 0
 52 0.0155703    117 0            182 0            247 0
 53 0.0277295    118 0            183 0            248 0.625142
 54 0.464645     119 0            184 0            249 0
 55 0.0450905    120 0            185 0            250 0.266696
 56 0            121 0.453347     186 0.168593     251 0.165056
 57 0            122 0            187 0            252 0.326142
 58 0            123 0            188 0            253 0
 59 0            124 0.501738     189 0            254 0
 60 0            125 0            190 0            255 0.0390351
 61 0            126 0.159294     191 0.16229      256 0
 62 0            127 0.0257974    192 0            257 0
 63 0            128 0            193 0.175733     258 0
 64 0            129 0.141889     194 0
;

